Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:00:19.918650', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:00:49.952137', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:01:19.992302', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:01:51.784750', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:02:21.823764', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:02:51.839197', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:03:21.878387', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:03:51.897566', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:04:21.927508', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:04:51.953732', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.254, 'READING_POWER_IN_LOW_TARIFF': 23.311, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:05:23.788303', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.265, 'READING_POWER_IN_LOW_TARIFF': 23.326, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:05:53.821095', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.265, 'READING_POWER_IN_LOW_TARIFF': 23.326, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:06:23.883216', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.265, 'READING_POWER_IN_LOW_TARIFF': 23.326, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:06:53.925020', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.265, 'READING_POWER_IN_LOW_TARIFF': 23.326, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:07:23.959692', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.257, 'READING_POWER_IN_LOW_TARIFF': 23.327, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:07:54.000820', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.257, 'READING_POWER_IN_LOW_TARIFF': 23.327, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:08:24.060675', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.257, 'READING_POWER_IN_LOW_TARIFF': 23.327, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:08:55.793539', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.258, 'READING_POWER_IN_LOW_TARIFF': 23.341, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:09:25.833737', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.258, 'READING_POWER_IN_LOW_TARIFF': 23.341, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:09:55.850368', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.342, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:10:25.890672', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.342, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:10:55.930184', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.342, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:11:25.975632', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.342, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:11:56.017857', 'measurement': 'SmartMeter'}]
